Collection ID,Artist (Japanese),Artist (English),Title (Japanese),Title (English),Label,Catalog Number,Year,Format,Country,Genre,Retail Price (JPY),Notes,Source Photo,Cover Image Filename,Discogs URL,Cover Source,Cover Status,Research Notes,Obi,Shelf Location,Vinyl Condition,Sleeve Condition,Inserts,Purchase Date,Price Paid,Purchase Currency,Verification Issues,Verification Status,Last Updated,Album Summary,Summary Source,Summary Source Label,Artist Info URL,Artist Info Label
01,都はるみ,Harumi Miyako,都はるみの流し唄,Miyako Harumi no Nagashiuta (Flowing Songs),Columbia (Nippon Columbia),ALS-4183,1966,LP,Japan,Enka / Kayōkyoku,"¥1,500 (obi; later sticker series)",Red sleeve with blue obi. Distinct from record #06.,IMG_3229.jpg — top left,01_miyako_nagashiuta.jpg,https://www.discogs.com/release/5826667,https://www.discogs.com/release/5826667,discogs,"Photo audit 2026-09-17: IMG_3229.jpg, top left. Red sleeve with blue obi. Distinct from record #06.
Earlier imported notes (retained as history; may contain superseded readings): Classic red-background / white-pink kimono cover. Blue obi. Barcode sticker 26-0424-069. Original ALS-4183 Sep 1966 (¥1500). Separate from #06.",Present (visible in photo),,,,,,,,Release year differs between existing notes (1966) and Discogs (1968); confirm the pressing.,Needs verification,2026-09-17,"A collection of enka songs with travelling and period-story themes, including “Meigetsu Akagiyama”, “Ruten” and “Akagi no Komoriuta”. The source listing documents a later export pressing of the same programme; the pressing of this copy still needs confirmation.",https://www.discogs.com/release/5826667,Discogs release and track listing,https://www.discogs.com/artist/495700,Discogs artist profile
02,西川峰子,Mineko Nishikawa,ふたりの秘密,Futari no Himitsu (Two Secrets),Victor,SJX-210,1975,LP,Japan,Kayōkyoku / Enka,"¥2,000",,IMG_3229.jpg — top right,02_nishikawa_futari.jpg,https://www.discogs.com/release/7413926,https://www.discogs.com/release/7413926,discogs,"Photo audit 2026-09-17: IMG_3229.jpg, top right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Red Victor obi with Nipper logo; full 12-track listing on obi.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"This twelve-song collection pairs the title song with “Jūroku no Koi”, “Mineko no Komoriuta” and “Furusato Koiuta”, drawing on enka and kayōkyoku repertoire.",https://www.discogs.com/release/7413926,Discogs release and track listing,https://www.discogs.com/artist/3756573,Discogs artist profile
03,倍賞千恵子,Chieko Baisho,さくらの歌 / さくら貝の歌 — 倍賞千恵子の日本の詩,Sakura no Uta / Sakuragai no Uta — Chieko Baisho's Songs of Japan,King Records,,1971,LP,Japan,Kayōkyoku / Japanese lyric songs (抒情歌),"¥1,800 (printed on jacket)",Pale sleeve with portrait in a dark kimono and sakura branches; no obi visible.,IMG_3229.jpg — bottom left,03_reference_crop.jpg,https://www.discogs.com/release/9146810,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3229.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3229.jpg, bottom left. Pale sleeve with portrait in a dark kimono and sakura branches; no obi visible.
Earlier imported notes (retained as history; may contain superseded readings): CORRECTED ID: not 石川さゆり. Cover brands「さくらの歌」; Discogs/FanFan list as「さくら貝の歌 倍賞千恵子の日本の詩」SKK-680 (1971 gatefold). No obi on this copy. Photo credit: Shinsuke Ame.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Catalogue number is not readable on the supplied front sleeve; SKK-680 remains a candidate. | Existing online cover differs from the supplied sleeve; exact artwork match needed.,Needs verification,2026-09-17,"A Japanese song collection by Chieko Baisho, presented with a cherry-blossom portrait sleeve. The photographed cover is the identification source here: its full title and exact edition still need confirmation.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3229.jpg,Original sleeve (collection note),https://www.discogs.com/artist/575464,Discogs artist profile
04,藤圭子,Keiko Fuji,別れの旅,Wakare no Tabi (Journey of Farewell),RCA,JRS-7194,1972,LP,Japan,Enka / Kayōkyoku,"¥1,800",,IMG_3229.jpg — bottom right,04_fuji_wakare.jpg,https://www.discogs.com/release/14837576,https://www.discogs.com/release/14837576,discogs,"Photo audit 2026-09-17: IMG_3229.jpg, bottom right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Released 1972-06-25. White/red RCA obi. Track order per fan discography (A6=京都から博多まで).",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A twelve-track album built around songs of separation, including the title track, “Kyoto kara Hakata made” and “Ryōta no Komoriuta”. Released by RCA in 1972.",https://www.discogs.com/release/14837576,Discogs release and track listing,https://www.discogs.com/artist/1070643,Discogs artist profile
05,本田路津子,Rutsuko Honda,家路 / GOING HOME,Ieji / Going Home,CBS/Sony,SOND-66060,1971,LP,Japan,Folk / College Folk,"¥1,800",Catalogue number read directly from the red CBS/Sony obi.,IMG_3230.jpg — top left,05_verified_front_20260917.jpg,https://www.discogs.com/release/29605807,https://www.discogs.com/release/29605807,discogs,"Photo audit 2026-09-17: IMG_3230.jpg, top left. Catalogue number read directly from the red CBS/Sony obi.
Earlier imported notes (retained as history; may contain superseded readings): Obi shows SONP-30230; Wikipedia lists original as SOND-66060 (1971-08). Tracklist from that album edition. Pink/red CBS/Sony obi.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"Honda’s 1971 folk and popular-song album includes “Aru Asa Umarete”, “Kibō no Kuni” and the title song “Ieji”. The sleeve presents it under the English title Going Home.",https://www.discogs.com/release/29605807,Discogs release and track listing,https://www.discogs.com/artist/1330031,Discogs artist profile
06,都はるみ,Harumi Miyako,都はるみの流し唄 / 魅力のすべて,Nagashiuta / Miryoku no Subete,Columbia,,,LP,Japan,Enka / Kayōkyoku,"¥2,400",Red kimono portrait with red obi. A separate album from #01.,IMG_3230.jpg — top right,06_reference_crop.jpg,https://www.discogs.com/search/?q=%E9%83%BD%E3%81%AF%E3%82%8B%E3%81%BF%20%20%E9%83%BD%E3%81%AF%E3%82%8B%E3%81%BF%E3%81%AE%E6%B5%81%E3%81%97%E5%94%84%20/%20%E9%AD%85%E5%8A%9B%E3%81%AE%E3%81%99%E3%81%B9%E3%81%A6,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3230.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3230.jpg, top right. Red kimono portrait with red obi. A separate album from #01.
Earlier imported notes (retained as history; may contain superseded readings): DIFFERENT from #01: red kimono close-up cover, red obi, ¥2400. Branded 流し唄 with 魅力のすべて. Full Discogs match uncertain; tracklist only partially visible on obi — DO NOT invent. Treat as separate collection entry.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Present (visible in photo),,,,,,,,Catalogue number and release year remain unconfirmed; the barcode is a shop sticker.,Needs verification,2026-09-17,The sleeve presents this collection as Harumi Miyako’s Nagashiuta / Miryoku no Subete. Its red-kimono portrait distinguishes it from the other Nagashiuta record in this collection; the exact edition remains unidentified.,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3230.jpg,Original sleeve (collection note),https://www.discogs.com/artist/495700,Discogs artist profile
07,都はるみ,Harumi Miyako,ベスト・アルバム,Best Album,Columbia,AX-7293,1980,LP,Japan,Enka,"¥2,500",,IMG_3230.jpg — bottom left,07_miyako_best_album_ax7293.jpg,https://www.discogs.com/release/19552204,https://www.discogs.com/release/19552204,discogs,"Photo audit 2026-09-17: IMG_3230.jpg, bottom left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Purple/white BEST ALBUM obi. Soft-focus smiling portrait. Tracklist from omimi.biz AX7293 listing.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A fourteen-song selection spanning “Osaka Shigure”, “Kita no Yado kara” and “Suki ni Natta Hito”. This is the AX-7293 collection, distinct from the other Best Album sleeve on these shelves.",https://www.discogs.com/release/19552204,Discogs release and track listing,https://www.discogs.com/artist/495700,Discogs artist profile
08,都はるみ,Harumi Miyako,都はるみ・ベスト16,Harumi Miyako Best 16,Columbia,AX-7092,1977,LP,Japan,Enka,"¥2,500","Orange obi, yellow floral kimono and green background.",IMG_3230.jpg — bottom right,08_miyako_best16.jpg,https://www.discogs.com/release/21285337,https://www.discogs.com/release/21285337,discogs,"Photo audit 2026-09-17: IMG_3230.jpg, bottom right. Orange obi, yellow floral kimono and green background. Reference: https://www.discogs.com/release/21285337
Earlier imported notes (retained as history; may contain superseded readings): Yellow floral kimono / teal background. Orange obi. FanFan lists AX-7092. Year not confirmed on reliable source — left unknown. 16 tracks.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"Sixteen enka selections, opening with “Uminari no Uta” and “Kita no Yado kara”. The programme also includes “Namida no Renrakusen” and “Anko Tsubaki wa Koi no Hana”.",https://www.discogs.com/release/21285337,Discogs release and track listing,https://www.discogs.com/artist/495700,Discogs artist profile
09,加藤登紀子,Tokiko Kato,ダブル・デラックス・アルバム,Double Deluxe Album,Polydor,MR 9070/1,1970,2LP,Japan,Folk / World & Country,"¥2,500",,IMG_3231.jpg — top left,09_kato_double_deluxe.jpg,https://www.discogs.com/release/10000075,https://www.discogs.com/release/10000075,discogs,"Photo audit 2026-09-17: IMG_3231.jpg, top left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Red Polydor obi. 24 tracks across 4 sides.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A two-record selection of twenty-four songs, including “Hitorine no Komoriuta”, “Sensō wa Shiranai” and “Toki ni wa Haha no Nai Ko no Yō ni”. Released on Polydor in 1970.",https://www.discogs.com/release/10000075,Discogs release and track listing,https://www.discogs.com/artist/66364,Discogs artist profile
10,石毛恭子,Kyoko Ishige,石毛恭子がうたう 母と子供のうた ベストアルバム Vol.2,Mother & Child Songs Best Album Vol.2,Columbia,CW-7044,,LP,Japan,Children's / Kayōkyoku,,,IMG_3231.jpg — top right,10_ishige_haha_kodomo.jpg,https://www.discogs.com/release/11651826,https://www.discogs.com/release/11651826,discogs,"Photo audit 2026-09-17: IMG_3231.jpg, top right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): CORRECTED: Columbia CW-7044 (not Victor SJX-1044). Photo credit Naeba Prince Hotel / ©Fuji Production. Full tracklist not verified from Discogs — left incomplete.",Not visible in supplied photo,,,,,,,,Release year and full track list remain unconfirmed.,Needs verification,2026-09-17,"A family-oriented collection of familiar international songs. Its twelve selections include “Do-Re-Mi”, “Please Mr. Postman”, “Jambalaya” and “Over the Rainbow”.",https://www.discogs.com/release/11651826,Discogs release and track listing,https://www.discogs.com/artist/7792268,Discogs artist profile
