Collection ID,Side,Track Number,Title (Japanese),Title (English/Romanization),Duration
01,A,1,名月赤城山,Meigetsu Akagiyama,4:30
01,A,2,流転,Ruten,3:29
01,A,3,妻恋道中,Tsumakoi Dōchū,3:31
01,A,4,むらさき小唄,Murasaki Kouta,4:04
01,A,5,いろは仁義,Iroha Jingi,2:40
01,A,6,旅笠道中,Tabigasa Dōchū,3:39
01,B,1,赤城の子守唄,Akagi no Komoriuta,4:14
01,B,2,おしどり道中,Oshidori Dōchū,4:06
01,B,3,裏町人生,Uramachi Jinsei,3:16
01,B,4,名月佐太郎笠,Meigetsu Satarōgasa,2:55
01,B,5,野崎小唄,Nozaki Kouta,3:04
01,B,6,赤城しぐれ,Akagi Shigure,3:04
02,A,1,ふたりの秘密,Futari no Himitsu,
02,A,2,十六の恋,Jūroku no Koi,
02,A,3,さよなら好きなひと,Sayonara Suki na Hito,
02,A,4,恋日記,Koi Nikki,
02,A,5,恋化粧,Koi Keshō,
02,A,6,峰子の子守唄,Mineko no Komoriuta,
02,B,1,下町育ち,Shitamachi Sodachi,
02,B,2,初恋峠,Hatsukoi Tōge,
02,B,3,北風の朝,Kitakaze no Asa,
02,B,4,旅愁,Ryoshū,
02,B,5,別れのホーム,Wakare no Hōmu,
02,B,6,ふるさと恋唄,Furusato Koiuta,
03,A,1,さくら貝の歌,Sakuragai no Uta,
03,A,2,かあさんの歌,Kāsan no Uta,
03,A,3,ちいさい秋みつけた,Chiisai Aki Mitsuketa,
03,A,4,忘れな草をあなたに,Wasurenagusa o Anata ni,
03,A,5,雪の降る町を,Yuki no Furu Machi o,
03,A,6,浜辺の歌,Hamabe no Uta,
03,B,1,赤とんぼ,Aka Tonbo,
03,B,2,あざみの歌,Azami no Uta,
03,B,3,花の街,Hana no Machi,
03,B,4,夏の思い出,Natsu no Omoide,
03,B,5,心の窓に灯を,Kokoro no Mado ni Hi o,
03,B,6,島原地方の子守唄,Shimabara Chihō no Komoriuta,
04,A,1,別れの旅,Wakare no Tabi,
04,A,2,さいはての町,Saihate no Machi,3:00
04,A,3,恋無情,Koi Mujō,3:38
04,A,4,こわれ人形の詩,Koware Ningyō no Uta,4:12
04,A,5,面影,Omokage,3:13
04,A,6,京都から博多まで,Kyōto kara Hakata made,
04,B,1,花のブルース,Hana no Blues,3:37
04,B,2,ネオン花哀歌,Neonbana Aika,3:52
04,B,3,東京の片隅で,Tōkyō no Katasumi de,3:06
